video_num,frame_num,depth_scale
0,0,0.0086378153632668
0,1,0.0086247098212148
0,2,0.0086105926364075
0,3,0.0086164661482268
0,4,0.0086225621840533
0,5,0.0086144428627163
0,6,0.0086081261728324
0,7,0.0086118613972383
0,8,0.0086163305768779
0,9,0.0086384661057416
0,10,0.0086598508498247
0,11,0.008652452394074
0,12,0.0086436804603127
0,13,0.0086528778076171
0,14,0.0086665518143597
0,15,0.0086652129304175
0,16,0.0086635916840796
0,17,0.0086604744780297
0,18,0.0086578097997927
0,19,0.0086630877326516
0,20,0.008671994302787
0,21,0.0086690622217514
0,22,0.0086656757429534
0,23,0.0086741036059809
0,24,0.0086822341470157
0,25,0.0086822902455049
0,26,0.0086805278179692
0,27,0.0086691183202406
0,28,0.0086588569715911
0,29,0.0086549291423722
0,30,0.0086514903049842
0,31,0.0086504964267506
0,32,0.0086502636180204
0,33,0.0086545467376708
0,34,0.0086613935582778
0,35,0.0086677822412229
0,36,0.0086753274880203
0,37,0.0086688658770392
0,38,0.008662462234497
0,39,0.008665256874234
0,40,0.0086697288587981
0,41,0.0086628296796013
0,42,0.008655112397437
0,43,0.0086493884815889
0,44,0.0086441862816904
0,45,0.0086417628269569
0,46,0.0086387503380868
0,47,0.0086407979329427
0,48,0.0086423527960683
0,49,0.0086414776596368
0,50,0.0086398105995327
0,51,0.0086485096052581
0,52,0.0086592982797061
0,53,0.0086595292184867
0,54,0.0086572927587172
0,55,0.0086485395244523
0,56,0.0086390598147523
0,57,0.0086323532403684
0,58,0.0086256728452794
0,59,0.0086252249923406
0,60,0.0086247855541752
0,61,0.0086324289733288
0,62,0.0086463451385498
0,63,0.008648852741017
0,64,0.0086489247340782
0,65,0.0086449679206399
0,66,0.0086408493565578
0,67,0.0086297240911745
0,68,0.0086210241504743
0,69,0.0086189915152157
0,70,0.0086211690715715
0,71,0.0086263525719736
0,72,0.0086330170724906
0,73,0.0086313724517822
0,74,0.0086273548649806
0,75,0.0086228819454417
0,76,0.0086189522462732
0,77,0.0086150075875076
0,78,0.008611930585375
0,79,0.0086121353448606
0,80,0.008613509757846
0,81,0.0086156845092773
0,82,0.0086176030776079
0,83,0.0086199105954637
0,84,0.008621950710521
0,85,0.0086244199790206
0,86,0.0086275558845669
0,87,0.0086276980007396
0,88,0.0086277952381208
0,89,0.0086301925135593
0,90,0.0086343054677925
0,91,0.0086370776681339
0,92,0.0086396591336119
0,93,0.0086358678107168
0,94,0.0086327870686848
0,95,0.0086275353151209
0,96,0.0086245807946897
0,97,0.008623716877956
0,98,0.008624407824348
0,99,0.0086227987326827
0,100,0.0086228034075568
0,101,0.0086275979584338
0,102,0.0086320989272173
0,103,0.0086285338682286
0,104,0.0086198264477299
0,105,0.0086212111454384
0,106,0.0086269444110346
0,107,0.0086268462386785
0,108,0.0086229604833266
0,109,0.0086227173898734
0,110,0.0086225902332979
0,111,0.0086196525424134
0,112,0.0086128926744648
0,113,0.0086066732219621
